config_id,num_leaves,max_depth,learning_rate,class_weight_power,n_folds,mean_val_acc,std_val_acc,mean_balanced_acc,std_balanced_acc,mean_NoGesture_acc,std_NoGesture_acc,mean_Gesture_acc,std_Gesture_acc
1,31,5,0.03,0.5,3,0.7529814171818515,0.07009430673204134,0.7417032043880417,0.06279050390296728,0.7127692578339594,0.1010815709794492,0.770637150942124,0.1067034462073437
2,31,5,0.03,1.0,3,0.7274469031086491,0.0870883877784013,0.7408231493269137,0.06870230356265669,0.7980958199281915,0.0814456862183002,0.683550478725636,0.15268218830351024
3,31,5,0.05,0.5,3,0.7503230076533631,0.07265915497330602,0.740051401779196,0.06463088283953952,0.7145179917609904,0.10150922194155464,0.7655848117974021,0.11142248415593294
4,31,5,0.05,1.0,3,0.7268645388128561,0.08843454914062426,0.740372393896575,0.0698403863074424,0.7981939087103451,0.08116768768112174,0.6825508790828049,0.1543001659316705
5,31,7,0.03,0.5,3,0.7513729852778249,0.07363562837383222,0.7419113681291529,0.06571100986813593,0.7188192954240806,0.09894030811057807,0.7650034408342252,0.11079433756264691
6,31,7,0.03,1.0,3,0.729495198854197,0.08811119387486949,0.7429679618313862,0.07084206959417452,0.7998837469568354,0.08089913514920785,0.686052176705937,0.15129486791214455
7,31,7,0.05,0.5,3,0.7492115615554639,0.07269227651632933,0.7386003795396788,0.06420754771957231,0.7117468762570865,0.09639075655061313,0.7654538828222712,0.10986033064131281
8,31,7,0.05,1.0,3,0.7261984523743226,0.08997963841166898,0.7400504069679785,0.07195180467323702,0.7983979502645281,0.08099494855112804,0.6817028636714291,0.15533676377303057
9,63,5,0.03,0.5,3,0.7509001431787636,0.07090328396541903,0.7396086205722477,0.06332296898175645,0.710519545682875,0.09989107027747895,0.7686976954616203,0.10746134610000466
10,63,5,0.03,1.0,3,0.7272897819415611,0.08695566846450359,0.7403965497040014,0.06804328226233497,0.7970232146007614,0.08157311499297165,0.6837698848072412,0.15357058140637553
11,63,5,0.05,0.5,3,0.7496397312952464,0.07312723914324702,0.7401492925176344,0.06539277784847629,0.7171784147889876,0.10341735593895203,0.7631201702462814,0.11242305544081514
12,63,5,0.05,1.0,3,0.7264337929378076,0.08865785949447745,0.7401006936184396,0.06994227023483506,0.7984677420448211,0.0808860632584995,0.681733645192058,0.15483307551191786
13,63,7,0.03,0.5,3,0.7541010654019268,0.07013960470131196,0.7437822106707733,0.06430749738237157,0.7173095823086971,0.10295115307802508,0.7702548390328495,0.10439133763955687
14,63,7,0.03,1.0,3,0.7332121988836716,0.08443280192440633,0.7459161446972331,0.06771398065837368,0.8003098478404523,0.08272463201411462,0.6915224415540139,0.1465139077742326
15,63,7,0.05,0.5,3,0.753263725151785,0.07109864469009065,0.7422155085992294,0.06485338150834372,0.7132762071129548,0.10032275914134732,0.771154810085504,0.1040918633561089
16,63,7,0.05,1.0,3,0.7310227375666644,0.08527082406344366,0.743904313924492,0.06824751318134331,0.7990324941936365,0.08373640327437368,0.6887761336553476,0.14847858302780614
