epoch,custom_accuracy,loss,lr
0,0.7310312390327454,1.1678705215454102,1e-04
1,0.7971015572547913,0.8752447962760925,1e-04
2,0.8289218544960022,0.6989823579788208,1e-04
3,0.8488125205039978,0.5775966644287109,1e-04
4,0.8616328239440918,0.4966468811035156,1e-04
5,0.8722890615463257,0.4399610757827759,1e-04
6,0.8820781111717224,0.4010676145553589,1e-04
7,0.8880781531333923,0.37253543734550476,1e-04
8,0.8960000276565552,0.34704992175102234,1e-04
9,0.9011484384536743,0.32862821221351624,1e-04
10,0.9064140915870667,0.31423982977867126,1e-04
11,0.9107031226158142,0.30079224705696106,1e-04
12,0.9123359322547913,0.2915409207344055,1e-04
13,0.9156015515327454,0.28104904294013977,1e-04
14,0.9193515777587891,0.27328798174858093,1e-04
