training_label,subtype,count,percentage
Gesture,0000,24,0.07
Gesture,0001,22,0.06
Gesture,0002,20,0.06
Gesture,0003,20,0.06
Gesture,0004,20,0.06
Gesture,0005,20,0.06
Gesture,0006,18,0.05
Gesture,0007,18,0.05
Gesture,0008,16,0.05
Gesture,0009,16,0.05
Gesture,0010,16,0.05
Gesture,0011,16,0.05
Gesture,0012,16,0.05
Gesture,0013,16,0.05
Gesture,0014,16,0.05
Gesture,0015,16,0.05
Gesture,0016,16,0.05
Gesture,0017,14,0.04
Gesture,0018,14,0.04
Gesture,0019,14,0.04
Gesture,0020,14,0.04
Gesture,0021,14,0.04
Gesture,0022,14,0.04
Gesture,0023,14,0.04
Gesture,0024,14,0.04
Gesture,0025,14,0.04
Gesture,0026,14,0.04
Gesture,0027,14,0.04
Gesture,0028,14,0.04
Gesture,0029,14,0.04
Gesture,0030,14,0.04
Gesture,0031,14,0.04
Gesture,0032,14,0.04
Gesture,0033,14,0.04
Gesture,0034,14,0.04
Gesture,0035,14,0.04
Gesture,0036,12,0.03
Gesture,0037,12,0.03
Gesture,0038,12,0.03
Gesture,0039,12,0.03
Gesture,0040,12,0.03
Gesture,0041,12,0.03
Gesture,0042,12,0.03
Gesture,0043,12,0.03
Gesture,0044,8,0.02
Gesture,0045,8,0.02
Gesture,0046,8,0.02
Gesture,0047,8,0.02
Gesture,0048,6,0.02
Gesture,0049,6,0.02
Gesture,0050,6,0.02
Gesture,0051,6,0.02
Gesture,0052,6,0.02
Gesture,0053,6,0.02
Gesture,0054,4,0.01
Gesture,0055,4,0.01
Gesture,0056,2,0.01
Gesture,0057,2,0.01
Gesture,0058,2,0.01
Gesture,0059,2,0.01
Gesture,0060,2,0.01
Gesture,0061,2,0.01
Gesture,0062,2,0.01
Gesture,0063,2,0.01
Gesture,NA,921,2.63
Gesture,beat,1532,4.38
Gesture,beatgest,555,1.59
Gesture,deictic,932,2.66
Gesture,deictic-beat,18,0.05
Gesture,discourse,359,1.03
Gesture,discourse-beat,2,0.01
Gesture,discourse-iconic,8,0.02
Gesture,emblem,69,0.2
Gesture,iconic,2229,6.37
Gesture,iconic ,2,0.01
Gesture,iconic-beat,60,0.17
Gesture,iconic-deictic,114,0.33
Gesture,iconic-deictic-beat,6,0.02
Gesture,metaphoric,1272,3.64
Gesture,nogesture,118,0.34
Gesture,point,1445,4.13
Gesture,praggest,2717,7.77
Gesture,repgest,2723,7.78
Gesture,symbolic,50,0.14
Gesture,unclear,4,0.01
Move,adaptor,28,0.08
Move,move,807,2.31
NoGesture,NA,15844,45.29
Objman,objman,2410,6.89
